"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.641341708E0,-4.650252602E-1,-7.205626175E-2,4.927331686E-2
2.651319708E0,-3.311710552E-1,-1.886457950E-3,-4.305597246E-2
2.661297708E0,-5.780425832E-2,1.440753937E-3,-1.203918314E-1
2.671274708E0,4.948631996E-2,-4.661151811E-2,-1.940369278E-1
2.681252708E0,1.145997988E-1,5.272332028E-2,-1.906467122E-1
2.691229708E0,2.200789280E-1,2.483783188E-1,-4.319864452E-2
2.701207708E0,1.184239144E-1,2.266287231E-1,7.943267047E-2
2.711185708E0,-1.173929041E-1,1.157032415E-2,4.462010264E-2
2.721162708E0,-1.482733656E-1,-4.637192845E-2,-1.169624394E-1
2.731140708E0,-1.388986709E-1,1.127072744E-1,-2.135175115E-1
2.741117708E0,-1.778709297E-1,1.862259248E-1,-9.359228790E-2
2.751095708E0,-8.317921909E-2,6.188561484E-2,3.422433794E-2
2.761073708E0,-8.344369596E-2,3.484940529E-3,2.038485557E-1
2.771050708E0,-4.825109566E-2,2.186127752E-3,3.409704405E-1
2.781028708E0,1.004858811E-1,5.911491171E-2,2.201394832E-1
2.791006708E0,1.736480888E-1,1.788499546E-1,6.362706184E-2
2.800983708E0,2.250706594E-1,2.091326845E-1,-1.236779666E-1
2.810961708E0,2.371655702E-1,8.249032572E-2,-2.512952024E-1
2.820939708E0,-1.370792001E-2,3.553499132E-2,-2.026393515E-1
2.830916708E0,-9.372936856E-2,9.966242865E-2,-1.631244528E-1
2.840894708E0,4.569615478E-2,2.012355812E-1,-1.091160607E-1
2.850871708E0,2.812603736E-1,2.330355173E-1,-4.409092963E-2
2.860849708E0,2.203013232E-1,1.415606524E-1,2.386541069E-2
2.870827708E0,-1.499863805E-2,7.474144936E-2,1.176319456E-1
2.880804708E0,-1.728717796E-1,2.915597141E-2,5.274831712E-2
2.890782708E0,-1.575942476E-1,-1.905914560E-2,-8.427767336E-2
2.900760083E0,-1.182379364E-1,3.943830013E-2,-1.945111370E-1
2.910738083E0,3.055722009E-2,1.235396799E-1,-1.581285918E-1
2.920716083E0,1.639788772E-1,7.503527194E-2,-6.284470439E-2
2.930693083E0,9.803149402E-2,1.789905801E-2,1.208794892E-2
2.940671083E0,-5.823636755E-2,4.931965604E-2,-7.418479443E-2
2.950649083E0,-1.789582743E-1,1.754924834E-2,-1.407851654E-1
2.960626083E0,-1.739951759E-1,5.700538248E-2,-7.894676685E-2
2.970604083E0,-4.947349263E-2,7.810169801E-2,-5.472350657E-2
2.980581083E0,-2.955201977E-2,7.367330924E-2,-3.402670205E-2
2.990559083E0,4.726248681E-2,1.227710634E-1,1.616345823E-2
3.000537083E0,1.977631391E-1,1.675975728E-1,1.501190758E-1
3.010514083E0,2.617622300E-1,1.211687802E-1,7.763815999E-2
3.020492083E0,1.675756823E-1,7.781942368E-2,-8.860402822E-2
3.030470083E0,4.147852158E-2,4.802479014E-2,-2.402971745E-2
3.040447083E0,-1.338607191E-1,2.471033335E-3,1.724694729E-2
3.050425083E0,-1.237804847E-1,-5.716223404E-2,6.785576820E-2
3.060402083E0,-5.556481127E-2,-6.654672280E-2,9.377939880E-2
3.070380083E0,-5.132356994E-3,-3.067244679E-2,-3.311161280E-2
3.080358083E0,1.823764104E-1,6.350339323E-2,-9.014418483E-2
3.090335083E0,2.204296513E-1,1.319317500E-1,-2.845138192E-2
3.100313083E0,1.242439862E-1,1.071724463E-1,-5.719278574E-2
3.110290083E0,3.954111977E-2,6.712647423E-2,-2.463730162E-1
3.120268083E0,1.191455157E-2,1.032081802E-1,-2.452661383E-1
3.130246083E0,-4.577621595E-2,1.107391016E-1,-1.104884022E-1
3.140223083E0,-5.809371376E-2,4.227434590E-2,-1.614082950E-1
3.150201083E0,3.745332574E-2,3.591096729E-2,-3.129067290E-1
3.160179083E0,3.172613332E-2,3.628533527E-2,-2.359702349E-1
3.170156083E0,-6.145615513E-2,9.001963913E-2,3.479736507E-2
3.180134083E0,-5.966025593E-2,7.488909155E-2,3.039786154E-1
3.190111083E0,-7.707327328E-2,-1.840484217E-2,2.991265959E-1
3.200089083E0,-1.227150946E-1,-1.118684913E-1,1.499676329E-1
3.210067083E0,-1.655881771E-1,-1.087934406E-1,2.029130012E-1
3.220044083E0,-1.472581793E-1,1.171299621E-2,1.577707422E-1
3.230022083E0,-9.247464744E-2,3.144120947E-2,-7.963089108E-2
3.240000083E0,4.504325833E-2,1.042764665E-1,-3.859787983E-1
3.249977083E0,2.607459109E-1,2.371988811E-1,-4.841155422E-1
3.259955083E0,2.409665345E-1,2.640530960E-1,-3.024752963E-1
3.269932083E0,3.241921110E-2,1.908715376E-1,-2.160604656E-2
3.279910083E0,-1.149434415E-1,8.445586726E-2,1.323897332E-1
3.289888083E0,-1.606047780E-1,5.935070068E-3,7.154770017E-2
3.299865083E0,-1.116270561E-1,-1.144139305E-1,1.926043600E-1
3.309843083E0,-1.363475125E-1,-7.302704573E-2,3.212191308E-1
3.319821083E0,-1.793603617E-1,-8.048546165E-3,3.272265601E-1
3.329798083E0,-9.513717709E-2,-1.380075918E-1,4.225724280E-2
3.339776083E0,6.459507296E-2,-2.485227451E-2,-1.336141402E-1
3.349753083E0,1.987364812E-1,2.860596769E-1,-1.132956505E-2
3.359731083E0,1.950049892E-1,2.806543645E-1,1.796849370E-3
3.369709083E0,1.346001452E-1,1.253004228E-1,-2.036310393E-1
3.379686083E0,1.412721563E-2,6.434144542E-2,-3.176856583E-1
3.389664083E0,-5.842767200E-2,5.983572721E-2,-2.127006555E-1
3.399642083E0,-2.171028231E-2,9.198605776E-2,-8.307431638E-2
3.409619083E0,1.121144764E-1,1.178829373E-1,4.310508907E-2
3.419597083E0,1.728855936E-1,1.063900888E-1,4.688882232E-2
3.429574083E0,1.322164363E-1,1.740129916E-1,-2.421799779E-2
3.439552083E0,1.508309377E-1,2.068511009E-1,-5.141807556E-2
3.449530083E0,6.767911377E-2,1.930491869E-1,3.604048312E-2
3.459507083E0,-6.285057445E-2,1.224608687E-1,1.285387570E-1
3.469485083E0,-1.284624873E-1,9.925224647E-2,4.929495156E-2
3.479462083E0,-1.888556187E-1,8.352937594E-2,1.471627235E-2
3.489440083E0,-1.531069299E-1,3.520813197E-2,-7.408363760E-2
3.499418083E0,-4.207321996E-2,-4.138951600E-3,-1.332182837E-1
3.509395083E0,6.912255377E-2,7.603865415E-3,-1.604107600E-1
3.519373083E0,6.629719287E-3,8.743853197E-2,-2.782654846E-1
3.529351083E0,-7.762058180E-2,1.368527667E-1,-9.301809132E-2
3.539328083E0,7.503996799E-3,1.069775878E-1,1.062105793E-1
3.549306083E0,2.454152240E-2,1.363377732E-1,9.451147020E-2
3.559283083E0,-8.603443276E-2,1.009697199E-1,1.379849339E-1
3.569261083E0,-1.821569753E-1,6.470090300E-3,1.043593508E-1
3.579239083E0,-1.713230166E-1,-3.203382477E-2,1.028431678E-1
